"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: March 24, 2022.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Mississippi,MS,28,2017,2.11,324.22,187.33,132.53,
Mississippi,MS,28,2018,2.99,333.92,192.94,136.50,
Mississippi,MS,28,2019,3.10,344.27,198.92,140.73,
Mississippi,MS,28,2020,2.36,352.40,203.62,144.05,
Mississippi,MS,28,2021,8.37,381.90,220.66,156.11,
Missouri,MO,29,1975,.,100.00,46.42,32.96,
Missouri,MO,29,1976,5.80,105.80,49.11,34.87,
Missouri,MO,29,1977,9.43,115.78,53.74,38.16,
Missouri,MO,29,1978,15.12,133.28,61.86,43.93,
Missouri,MO,29,1979,11.05,148.01,68.70,48.79,
Missouri,MO,29,1980,5.93,156.78,72.77,51.68,
Missouri,MO,29,1981,-1.43,154.54,71.73,50.94,
Missouri,MO,29,1982,0.24,154.90,71.90,51.06,
Missouri,MO,29,1983,5.60,163.58,75.93,53.92,
Missouri,MO,29,1984,6.41,174.07,80.80,57.37,
Missouri,MO,29,1985,5.78,184.13,85.47,60.69,
Missouri,MO,29,1986,4.77,192.90,89.54,63.58,
Missouri,MO,29,1987,5.13,202.79,94.13,66.84,
Missouri,MO,29,1988,3.45,209.80,97.38,69.15,
Missouri,MO,29,1989,2.23,214.47,99.55,70.69,
Missouri,MO,29,1990,0.45,215.44,100.00,71.01,
Missouri,MO,29,1991,1.03,217.65,101.03,71.74,
Missouri,MO,29,1992,1.53,220.98,102.57,72.84,
Missouri,MO,29,1993,1.39,224.04,103.99,73.85,
Missouri,MO,29,1994,3.66,232.25,107.80,76.55,
Missouri,MO,29,1995,5.63,245.33,113.87,80.86,
Missouri,MO,29,1996,3.70,254.40,118.08,83.85,
Missouri,MO,29,1997,4.10,264.82,122.92,87.29,
Missouri,MO,29,1998,3.20,273.30,126.86,90.08,
Missouri,MO,29,1999,4.32,285.12,132.34,93.98,
Missouri,MO,29,2000,6.41,303.39,140.82,100.00,
Missouri,MO,29,2001,5.51,320.11,148.58,105.51,
Missouri,MO,29,2002,4.46,334.39,155.21,110.22,
Missouri,MO,29,2003,2.75,343.60,159.49,113.25,
Missouri,MO,29,2004,5.73,363.28,168.62,119.74,
Missouri,MO,29,2005,6.43,386.65,179.47,127.44,
Missouri,MO,29,2006,4.07,402.38,186.77,132.63,
Missouri,MO,29,2007,1.50,408.41,189.57,134.62,
Missouri,MO,29,2008,-1.61,401.83,186.52,132.45,
Missouri,MO,29,2009,-3.31,388.52,180.33,128.06,
Missouri,MO,29,2010,-3.55,374.74,173.94,123.52,
Missouri,MO,29,2011,-3.15,362.94,168.46,119.63,
Missouri,MO,29,2012,-1.17,358.69,166.49,118.23,
Missouri,MO,29,2013,0.35,359.95,167.07,118.64,
Missouri,MO,29,2014,2.57,369.21,171.37,121.70,
Missouri,MO,29,2015,3.38,381.68,177.16,125.81,
Missouri,MO,29,2016,4.11,397.36,184.44,130.97,
Missouri,MO,29,2017,4.50,415.23,192.73,136.86,
Missouri,MO,29,2018,5.03,436.13,202.43,143.75,
Missouri,MO,29,2019,4.61,456.24,211.77,150.38,
Missouri,MO,29,2020,3.48,472.12,219.14,155.62,
Missouri,MO,29,2021,10.98,523.94,243.19,172.70,
Montana,MT,30,1975,.,100.00,47.98,27.78,
Montana,MT,30,1976,10.66,110.66,53.09,30.75,
Montana,MT,30,1977,15.40,127.70,61.27,35.48,
Montana,MT,30,1978,20.91,154.40,74.08,42.90,
Montana,MT,30,1979,10.55,170.69,81.89,47.43,
Montana,MT,30,1980,4.91,179.08,85.92,49.76,
Montana,MT,30,1981,-0.27,178.59,85.68,49.62,
Montana,MT,30,1982,5.80,188.95,90.65,52.50,
Montana,MT,30,1983,-1.98,185.20,88.85,51.46,
Montana,MT,30,1984,12.23,207.86,99.72,57.75,
Montana,MT,30,1985,-0.58,206.66,99.15,57.42,
Montana,MT,30,1986,-2.74,201.00,96.44,55.85,
Montana,MT,30,1987,-4.28,192.39,92.30,53.45,
Montana,MT,30,1988,1.28,194.85,93.48,54.14,
Montana,MT,30,1989,2.73,200.18,96.04,55.62,
Montana,MT,30,1990,4.12,208.43,100.00,57.91,
Montana,MT,30,1991,6.30,221.56,106.30,61.56,
Montana,MT,30,1992,7.49,238.16,114.26,66.17,
Montana,MT,30,1993,9.36,260.44,124.95,72.36,
Montana,MT,30,1994,8.85,283.49,136.01,78.76,
Montana,MT,30,1995,7.80,305.60,146.62,84.91,
Montana,MT,30,1996,4.19,318.42,152.77,88.47,
Montana,MT,30,1997,3.11,328.32,157.52,91.22,
Montana,MT,30,1998,2.42,336.26,161.33,93.43,
Montana,MT,30,1999,2.48,344.61,165.33,95.75,
Montana,MT,30,2000,4.44,359.92,172.68,100.00,
Montana,MT,30,2001,4.63,376.59,180.68,104.63,
Montana,MT,30,2002,4.81,394.69,189.36,109.66,
Montana,MT,30,2003,4.59,412.83,198.06,114.70,
Montana,MT,30,2004,8.92,449.66,215.73,124.93,
Montana,MT,30,2005,12.54,506.03,242.78,140.60,
Montana,MT,30,2006,11.23,562.88,270.05,156.39,
Montana,MT,30,2007,6.48,599.37,287.56,166.53,
Montana,MT,30,2008,1.38,607.64,291.53,168.83,
Montana,MT,30,2009,-2.75,590.91,283.50,164.18,
Montana,MT,30,2010,-4.75,562.86,270.04,156.38,
Montana,MT,30,2011,-3.02,545.85,261.88,151.66,
Montana,MT,30,2012,0.89,550.72,264.22,153.01,
Montana,MT,30,2013,3.44,569.65,273.30,158.27,
Montana,MT,30,2014,4.77,596.82,286.33,165.82,
Montana,MT,30,2015,3.54,617.96,296.48,171.69,
Montana,MT,30,2016,3.42,639.11,306.62,177.57,
Montana,MT,30,2017,5.41,673.66,323.20,187.17,
Montana,MT,30,2018,5.86,713.12,342.13,198.13,
Montana,MT,30,2019,4.87,747.87,358.81,207.79,
Montana,MT,30,2020,4.29,779.99,374.21,216.71,
Montana,MT,30,2021,15.46,900.57,432.06,250.21,
Nebraska,NE,31,1975,.,100.00,50.64,32.36,
Nebraska,NE,31,1976,7.83,107.83,54.61,34.89,
Nebraska,NE,31,1977,10.79,119.47,60.50,38.66,
Nebraska,NE,31,1978,11.77,133.53,67.63,43.21,
Nebraska,NE,31,1979,12.01,149.57,75.75,48.40,
Nebraska,NE,31,1980,7.57,160.90,81.49,52.07,
Nebraska,NE,31,1981,0.72,162.06,82.07,52.44,
Nebraska,NE,31,1982,6.13,171.99,87.10,55.66,
Nebraska,NE,31,1983,1.58,174.71,88.48,56.53,
Nebraska,NE,31,1984,1.96,178.13,90.21,57.64,
Nebraska,NE,31,1985,0.60,179.20,90.76,57.99,
Nebraska,NE,31,1986,1.52,181.93,92.14,58.87,
Nebraska,NE,31,1987,0.30,182.48,92.42,59.05,
Nebraska,NE,31,1988,1.20,184.66,93.52,59.76,
Nebraska,NE,31,1989,3.08,190.34,96.40,61.59,
Nebraska,NE,31,1990,3.74,197.46,100.00,63.90,
Nebraska,NE,31,1991,3.00,203.37,103.00,65.81,
Nebraska,NE,31,1992,3.55,210.59,106.65,68.15,
Nebraska,NE,31,1993,4.54,220.16,111.50,71.24,
Nebraska,NE,31,1994,5.91,233.17,118.09,75.45,
Nebraska,NE,31,1995,6.83,249.10,126.16,80.61,
Nebraska,NE,31,1996,4.70,260.81,132.08,84.40,
Nebraska,NE,31,1997,5.43,274.97,139.26,88.98,
Nebraska,NE,31,1998,3.70,285.14,144.41,92.27,
Nebraska,NE,31,1999,4.00,296.55,150.19,95.96,
Nebraska,NE,31,2000,4.21,309.02,156.50,100.00,
Nebraska,NE,31,2001,3.64,320.27,162.20,103.64,
Nebraska,NE,31,2002,2.60,328.61,166.42,106.34,
Nebraska,NE,31,2003,1.73,334.31,169.31,108.18,
Nebraska,NE,31,2004,4.44,349.16,176.83,112.99,
Nebraska,NE,31,2005,4.48,364.82,184.76,118.06,
Nebraska,NE,31,2006,1.92,371.83,188.31,120.32,
Nebraska,NE,31,2007,1.09,375.89,190.37,121.64,
Nebraska,NE,31,2008,-0.51,373.97,189.40,121.02,
Nebraska,NE,31,2009,-0.74,371.20,187.99,120.12,
Nebraska,NE,31,2010,-0.91,367.84,186.29,119.03,
Nebraska,NE,31,2011,-0.48,366.08,185.40,118.46,
Nebraska,NE,31,2012,0.62,368.37,186.56,119.20,
Nebraska,NE,31,2013,2.35,377.01,190.93,122.00,
Nebraska,NE,31,2014,3.80,391.33,198.19,126.63,
Nebraska,NE,31,2015,3.91,406.63,205.93,131.59,
Nebraska,NE,31,2016,4.19,423.69,214.57,137.10,
Nebraska,NE,31,2017,5.76,448.10,226.94,145.01,
Nebraska,NE,31,2018,5.16,471.24,238.66,152.49,
Nebraska,NE,31,2019,5.09,495.22,250.80,160.25,
Nebraska,NE,31,2020,2.88,509.47,258.02,164.87,
Nebraska,NE,31,2021,10.45,562.70,284.97,182.09,
Nevada,NV,32,1975,.,100.00,37.14,28.08,
Nevada,NV,32,1976,10.64,110.64,41.09,31.07,
Nevada,NV,32,1977,14.19,126.33,46.92,35.48,
Nevada,NV,32,1978,20.18,151.82,56.39,42.64,
Nevada,NV,32,1979,18.77,180.32,66.97,50.64,
Nevada,NV,32,1980,5.70,190.59,70.79,53.52,
Nevada,NV,32,1981,12.03,213.52,79.31,59.96,
Nevada,NV,32,1982,5.26,224.76,83.48,63.12,
Nevada,NV,32,1983,-2.16,219.90,81.68,61.76,
Nevada,NV,32,1984,-0.16,219.55,81.54,61.66,
Nevada,NV,32,1985,1.22,222.23,82.54,62.41,
Nevada,NV,32,1986,3.67,230.38,85.57,64.70,
Nevada,NV,32,1987,1.14,233.01,86.54,65.43,
Nevada,NV,32,1988,2.46,238.74,88.67,67.05,
Nevada,NV,32,1989,4.93,250.51,93.05,70.35,
Nevada,NV,32,1990,7.47,269.24,100.00,75.61,
Nevada,NV,32,1991,5.61,284.35,105.61,79.85,
Nevada,NV,32,1992,3.13,293.24,108.92,82.35,
Nevada,NV,32,1993,1.88,298.76,110.96,83.90,
Nevada,NV,32,1994,1.45,303.10,112.58,85.12,
Nevada,NV,32,1995,4.12,315.59,117.21,88.63,
Nevada,NV,32,1996,2.38,323.09,120.00,90.73,
Nevada,NV,32,1997,2.54,331.30,123.05,93.04,
Nevada,NV,32,1998,2.29,338.88,125.87,95.17,
Nevada,NV,32,1999,1.37,343.51,127.59,96.47,
Nevada,NV,32,2000,3.66,356.09,132.26,100.00,
Nevada,NV,32,2001,6.39,378.83,140.70,106.39,
Nevada,NV,32,2002,6.27,402.58,149.53,113.06,
Nevada,NV,32,2003,6.20,427.56,158.80,120.07,
Nevada,NV,32,2004,26.53,540.98,200.93,151.92,
Nevada,NV,32,2005,24.28,672.34,249.72,188.81,
Nevada,NV,32,2006,8.79,731.43,271.67,205.41,
Nevada,NV,32,2007,-3.17,708.26,263.06,198.90,
Nevada,NV,32,2008,-18.58,576.67,214.19,161.95,
Nevada,NV,32,2009,-23.21,442.85,164.48,124.36,
Nevada,NV,32,2010,-14.22,379.88,141.09,106.68,
Nevada,NV,32,2011,-12.05,334.09,124.09,93.82,
Nevada,NV,32,2012,-1.07,330.52,122.76,92.82,
Nevada,NV,32,2013,15.05,380.26,141.24,106.79,
Nevada,NV,32,2014,17.51,446.85,165.97,125.49,
Nevada,NV,32,2015,9.71,490.23,182.08,137.67,
Nevada,NV,32,2016,9.35,536.09,199.11,150.55,
Nevada,NV,32,2017,9.45,586.73,217.92,164.77,
Nevada,NV,32,2018,12.84,662.06,245.90,185.93,
Nevada,NV,32,2019,6.41,704.51,261.67,197.85,
Nevada,NV,32,2020,3.16,726.79,269.94,204.10,
Nevada,NV,32,2021,15.79,841.53,312.56,236.33,
New Hampshire,NH,33,1975,.,100.00,30.57,24.78,
New Hampshire,NH,33,1976,2.31,102.31,31.28,25.36,
New Hampshire,NH,33,1977,11.06,113.63,34.74,28.16,
New Hampshire,NH,33,1978,7.53,122.18,37.35,30.28,
New Hampshire,NH,33,1979,20.30,146.99,44.93,36.43,
New Hampshire,NH,33,1980,6.72,156.87,47.95,38.88,
New Hampshire,NH,33,1981,5.03,164.75,50.36,40.83,
New Hampshire,NH,33,1982,6.55,175.54,53.66,43.51,
New Hampshire,NH,33,1983,4.95,184.24,56.32,45.66,
New Hampshire,NH,33,1984,15.52,212.82,65.06,52.75,
New Hampshire,NH,33,1985,16.82,248.62,76.00,61.62,
New Hampshire,NH,33,1986,18.52,294.67,90.08,73.03,
New Hampshire,NH,33,1987,12.76,332.26,101.57,82.35,
New Hampshire,NH,33,1988,4.86,348.39,106.50,86.35,
New Hampshire,NH,33,1989,0.37,349.69,106.90,86.67,
New Hampshire,NH,33,1990,-6.46,327.12,100.00,81.08,
New Hampshire,NH,33,1991,-8.45,299.48,91.55,74.23,
New Hampshire,NH,33,1992,-3.60,288.70,88.25,71.55,
New Hampshire,NH,33,1993,-1.15,285.37,87.24,70.73,
New Hampshire,NH,33,1994,-0.33,284.42,86.95,70.49,
New Hampshire,NH,33,1995,1.43,288.49,88.19,71.50,
New Hampshire,NH,33,1996,3.00,297.14,90.83,73.64,
New Hampshire,NH,33,1997,3.52,307.60,94.03,76.24,
New Hampshire,NH,33,1998,5.97,325.96,99.65,80.79,
New Hampshire,NH,33,1999,7.72,351.14,107.34,87.03,
New Hampshire,NH,33,2000,14.91,403.47,123.34,100.00,
New Hampshire,NH,33,2001,11.22,448.75,137.18,111.22,
New Hampshire,NH,33,2002,10.80,497.21,152.00,123.23,
New Hampshire,NH,33,2003,7.06,532.29,162.72,131.93,
New Hampshire,NH,33,2004,11.00,590.83,180.62,146.44,
New Hampshire,NH,33,2005,10.64,653.68,199.83,162.01,
New Hampshire,NH,33,2006,2.92,672.80,205.67,166.75,
New Hampshire,NH,33,2007,-1.69,661.42,202.19,163.93,
New Hampshire,NH,33,2008,-3.90,635.63,194.31,157.54,
New Hampshire,NH,33,2009,-7.46,588.23,179.82,145.79,
New Hampshire,NH,33,2010,-4.30,562.96,172.10,139.53,
New Hampshire,NH,33,2011,-3.21,544.91,166.58,135.06,
New Hampshire,NH,33,2012,-2.42,531.74,162.55,131.79,
New Hampshire,NH,33,2013,0.73,535.61,163.73,132.75,
New Hampshire,NH,33,2014,3.91,556.55,170.14,137.94,
New Hampshire,NH,33,2015,3.56,576.37,176.20,142.85,
New Hampshire,NH,33,2016,3.92,598.96,183.10,148.45,
New Hampshire,NH,33,2017,5.53,632.09,193.23,156.66,
New Hampshire,NH,33,2018,6.05,670.33,204.92,166.14,
New Hampshire,NH,33,2019,5.06,704.23,215.28,174.54,
New Hampshire,NH,33,2020,4.91,738.83,225.86,183.12,
New Hampshire,NH,33,2021,14.03,842.52,257.56,208.82,
New Jersey,NJ,34,1975,.,100.00,27.71,22.85,
New Jersey,NJ,34,1976,2.95,102.95,28.52,23.52,
New Jersey,NJ,34,1977,5.06,108.16,29.97,24.71,
New Jersey,NJ,34,1978,10.80,119.84,33.20,27.38,
New Jersey,NJ,34,1979,18.07,141.49,39.20,32.33,
New Jersey,NJ,34,1980,13.12,160.06,44.35,36.57,
New Jersey,NJ,34,1981,7.23,171.64,47.56,39.22,
New Jersey,NJ,34,1982,3.10,176.96,49.03,40.44,
New Jersey,NJ,34,1983,5.54,186.76,51.75,42.68,
New Jersey,NJ,34,1984,14.56,213.96,59.28,48.89,
New Jersey,NJ,34,1985,13.30,242.42,67.17,55.39,
New Jersey,NJ,34,1986,17.83,285.65,79.15,65.27,
New Jersey,NJ,34,1987,17.51,335.68,93.01,76.70,
New Jersey,NJ,34,1988,10.77,371.85,103.03,84.97,
New Jersey,NJ,34,1989,0.43,373.44,103.47,85.33,
New Jersey,NJ,34,1990,-3.35,360.92,100.00,82.47,
New Jersey,NJ,34,1991,-3.88,346.92,96.12,79.27,
New Jersey,NJ,34,1992,0.66,349.20,96.75,79.79,
New Jersey,NJ,34,1993,0.81,352.03,97.54,80.44,
New Jersey,NJ,34,1994,0.23,352.82,97.76,80.62,
New Jersey,NJ,34,1995,0.19,353.49,97.94,80.77,
New Jersey,NJ,34,1996,1.77,359.77,99.68,82.21,
New Jersey,NJ,34,1997,1.73,365.99,101.41,83.63,
New Jersey,NJ,34,1998,3.47,378.68,104.92,86.53,
New Jersey,NJ,34,1999,4.65,396.31,109.81,90.56,
New Jersey,NJ,34,2000,10.43,437.63,121.26,100.00,
New Jersey,NJ,34,2001,9.32,478.40,132.55,109.32,
New Jersey,NJ,34,2002,10.58,529.04,146.58,120.89,
New Jersey,NJ,34,2003,7.71,569.83,157.88,130.21,
New Jersey,NJ,34,2004,13.98,649.48,179.95,148.41,
New Jersey,NJ,34,2005,15.94,753.03,208.64,172.07,
New Jersey,NJ,34,2006,8.55,817.39,226.47,186.77,
New Jersey,NJ,34,2007,-0.16,816.12,226.12,186.48,
New Jersey,NJ,34,2008,-4.55,779.00,215.84,178.00,
New Jersey,NJ,34,2009,-8.21,715.02,198.11,163.38,
New Jersey,NJ,34,2010,-3.83,687.61,190.52,157.12,
New Jersey,NJ,34,2011,-4.19,658.84,182.55,150.55,
New Jersey,NJ,34,2012,-3.49,635.81,176.17,145.28,
New Jersey,NJ,34,2013,0.38,638.23,176.84,145.84,
New Jersey,NJ,34,2014,2.88,656.62,181.93,150.04,
New Jersey,NJ,34,2015,2.28,671.59,186.08,153.46,
New Jersey,NJ,34,2016,2.36,687.45,190.47,157.08,
New Jersey,NJ,34,2017,2.25,702.94,194.77,160.62,
New Jersey,NJ,34,2018,3.28,725.97,201.15,165.89,
New Jersey,NJ,34,2019,3.27,749.73,207.73,171.32,
New Jersey,NJ,34,2020,3.16,773.42,214.29,176.73,
New Jersey,NJ,34,2021,10.71,856.28,237.25,195.66,
New Mexico,NM,35,1975,.,100.00,43.12,29.76,
New Mexico,NM,35,1976,9.55,109.55,47.24,32.60,
New Mexico,NM,35,1977,15.00,125.98,54.32,37.48,
New Mexico,NM,35,1978,9.85,138.39,59.68,41.18,
New Mexico,NM,35,1979,14.95,159.08,68.60,47.34,
New Mexico,NM,35,1980,9.84,174.74,75.35,51.99,
New Mexico,NM,35,1981,12.86,197.22,85.05,58.68,
New Mexico,NM,35,1982,5.57,208.21,89.78,61.95,
New Mexico,NM,35,1983,5.02,218.67,94.30,65.07,
New Mexico,NM,35,1984,0.35,219.43,94.62,65.29,
New Mexico,NM,35,1985,1.58,222.90,96.12,66.32,
New Mexico,NM,35,1986,3.13,229.88,99.13,68.40,
New Mexico,NM,35,1987,-0.20,229.43,98.93,68.27,
New Mexico,NM,35,1988,-1.77,225.37,97.19,67.06,
New Mexico,NM,35,1989,1.85,229.53,98.98,68.30,
New Mexico,NM,35,1990,1.03,231.90,100.00,69.00,
New Mexico,NM,35,1991,3.15,239.19,103.15,71.17,
New Mexico,NM,35,1992,4.25,249.36,107.53,74.20,
New Mexico,NM,35,1993,5.79,263.78,113.75,78.49,
New Mexico,NM,35,1994,8.76,286.90,123.72,85.37,
New Mexico,NM,35,1995,7.79,309.25,133.36,92.02,
New Mexico,NM,35,1996,2.06,315.61,136.10,93.91,
New Mexico,NM,35,1997,1.99,321.88,138.80,95.78,
New Mexico,NM,35,1998,1.37,326.30,140.71,97.09,
New Mexico,NM,35,1999,1.14,330.03,142.32,98.20,
New Mexico,NM,35,2000,1.83,336.08,144.92,100.00,
New Mexico,NM,35,2001,3.57,348.08,150.10,103.57,
New Mexico,NM,35,2002,3.16,359.08,154.84,106.84,
New Mexico,NM,35,2003,3.58,371.92,160.38,110.66,
New Mexico,NM,35,2004,6.75,397.03,171.21,118.14,
New Mexico,NM,35,2005,12.00,444.67,191.75,132.31,
New Mexico,NM,35,2006,12.90,502.02,216.48,149.38,
New Mexico,NM,35,2007,5.58,530.04,228.57,157.71,
New Mexico,NM,35,2008,-1.01,524.68,226.26,156.12,
New Mexico,NM,35,2009,-4.97,498.59,215.00,148.36,
New Mexico,NM,35,2010,-4.20,477.64,205.97,142.12,
New Mexico,NM,35,2011,-4.28,457.17,197.14,136.03,
New Mexico,NM,35,2012,-2.79,444.39,191.63,132.23,
New Mexico,NM,35,2013,0.98,448.75,193.51,133.53,
New Mexico,NM,35,2014,1.20,454.12,195.83,135.12,
New Mexico,NM,35,2015,1.68,461.76,199.12,137.40,
New Mexico,NM,35,2016,2.78,474.61,204.66,141.22,
New Mexico,NM,35,2017,3.30,490.27,211.42,145.88,
New Mexico,NM,35,2018,3.79,508.86,219.43,151.41,
New Mexico,NM,35,2019,4.78,533.20,229.93,158.65,
New Mexico,NM,35,2020,4.62,557.82,240.54,165.98,
New Mexico,NM,35,2021,11.24,620.50,267.57,184.63,
New York,NY,36,1975,.,100.00,30.54,25.01,
New York,NY,36,1976,-4.35,95.65,29.21,23.92,
New York,NY,36,1977,9.85,105.07,32.09,26.27,
New York,NY,36,1978,2.94,108.16,33.03,27.04,
New York,NY,36,1979,13.32,122.57,37.43,30.65,
New York,NY,36,1980,14.98,140.92,43.04,35.24,
New York,NY,36,1981,4.78,147.66,45.10,36.92,
New York,NY,36,1982,10.68,163.42,49.91,40.86,
New York,NY,36,1983,7.17,175.14,53.49,43.80,
New York,NY,36,1984,13.77,199.26,60.86,49.83,
New York,NY,36,1985,15.44,230.03,70.25,57.52,
New York,NY,36,1986,14.76,263.99,80.62,66.01,
New York,NY,36,1987,13.28,299.04,91.33,74.78,
New York,NY,36,1988,8.90,325.64,99.45,81.43,
New York,NY,36,1989,1.35,330.05,100.80,82.53,
New York,NY,36,1990,-0.79,327.43,100.00,81.88,
New York,NY,36,1991,-1.32,323.10,98.68,80.79,
New York,NY,36,1992,1.17,326.86,99.83,81.73,
New York,NY,36,1993,-0.15,326.37,99.67,81.61,
New York,NY,36,1994,-1.76,320.62,97.92,80.17,
New York,NY,36,1995,-0.19,320.00,97.73,80.02,
New York,NY,36,1996,1.57,325.03,99.26,81.27,
New York,NY,36,1997,1.09,328.57,100.35,82.16,
New York,NY,36,1998,4.14,342.17,104.50,85.56,
New York,NY,36,1999,5.29,360.27,110.03,90.09,
New York,NY,36,2000,11.00,399.92,122.14,100.00,
New York,NY,36,2001,7.98,431.82,131.88,107.98,
New York,NY,36,2002,8.54,468.72,143.15,117.20,
New York,NY,36,2003,7.87,505.62,154.42,126.43,
New York,NY,36,2004,11.44,563.45,172.08,140.89,
New York,NY,36,2005,13.15,637.52,194.70,159.41,
New York,NY,36,2006,6.38,678.19,207.12,169.58,
New York,NY,36,2007,0.43,681.10,208.01,170.31,
New York,NY,36,2008,-2.41,664.71,203.00,166.21,
New York,NY,36,2009,-5.56,627.76,191.72,156.97,
New York,NY,36,2010,-2.95,609.23,186.06,152.34,
New York,NY,36,2011,-2.32,595.09,181.74,148.80,
New York,NY,36,2012,-2.34,581.18,177.50,145.33,
New York,NY,36,2013,0.76,585.62,178.85,146.44,
New York,NY,36,2014,2.54,600.48,183.39,150.15,
New York,NY,36,2015,2.83,617.47,188.58,154.40,
New York,NY,36,2016,3.27,637.65,194.74,159.45,
New York,NY,36,2017,4.75,667.93,203.99,167.02,
New York,NY,36,2018,5.42,704.12,215.04,176.07,
New York,NY,36,2019,3.72,730.34,223.05,182.62,
New York,NY,36,2020,3.25,754.04,230.29,188.55,
New York,NY,36,2021,9.21,823.52,251.51,205.92,
North Carolina,NC,37,1975,.,100.00,42.55,30.18,
North Carolina,NC,37,1976,4.65,104.65,44.52,31.58,
North Carolina,NC,37,1977,7.96,112.97,48.07,34.09,
North Carolina,NC,37,1978,10.70,125.06,53.21,37.74,
North Carolina,NC,37,1979,10.14,137.75,58.61,41.57,
North Carolina,NC,37,1980,8.59,149.58,63.64,45.14,
North Carolina,NC,37,1981,6.56,159.40,67.82,48.10,
North Carolina,NC,37,1982,2.26,163.00,69.35,49.19,
North Carolina,NC,37,1983,3.69,169.01,71.90,51.00,
North Carolina,NC,37,1984,8.05,182.61,77.69,55.11,
North Carolina,NC,37,1985,6.80,195.02,82.97,58.86,
North Carolina,NC,37,1986,4.54,203.88,86.74,61.53,
North Carolina,NC,37,1987,4.69,213.43,90.80,64.41,
North Carolina,NC,37,1988,4.98,224.05,95.32,67.62,
North Carolina,NC,37,1989,2.93,230.61,98.11,69.60,
North Carolina,NC,37,1990,1.92,235.04,100.00,70.93,
North Carolina,NC,37,1991,1.56,238.72,101.56,72.04,
North Carolina,NC,37,1992,1.77,242.93,103.36,73.31,
North Carolina,NC,37,1993,1.75,247.19,105.17,74.60,
North Carolina,NC,37,1994,3.94,256.92,109.31,77.54,
North Carolina,NC,37,1995,5.67,271.49,115.51,81.93,
North Carolina,NC,37,1996,3.97,282.28,120.10,85.19,
North Carolina,NC,37,1997,4.66,295.44,125.69,89.16,
North Carolina,NC,37,1998,3.64,306.21,130.28,92.41,
North Carolina,NC,37,1999,3.47,316.83,134.80,95.61,
North Carolina,NC,37,2000,4.59,331.36,140.98,100.00,
North Carolina,NC,37,2001,4.11,344.98,146.77,104.11,
North Carolina,NC,37,2002,2.27,352.81,150.11,106.47,
North Carolina,NC,37,2003,1.45,357.94,152.29,108.02,
North Carolina,NC,37,2004,3.21,369.43,157.18,111.49,
North Carolina,NC,37,2005,6.25,392.52,167.00,118.46,
North Carolina,NC,37,2006,7.03,420.12,178.74,126.79,
North Carolina,NC,37,2007,4.85,440.49,187.41,132.93,
North Carolina,NC,37,2008,1.09,445.27,189.44,134.38,
North Carolina,NC,37,2009,-2.94,432.20,183.88,130.43,
North Carolina,NC,37,2010,-5.31,409.25,174.11,123.51,
North Carolina,NC,37,2011,-3.74,393.96,167.61,118.89,
North Carolina,NC,37,2012,-2.51,384.07,163.40,115.91,
North Carolina,NC,37,2013,0.85,387.33,164.79,116.89,
North Carolina,NC,37,2014,2.56,397.25,169.01,119.89,
North Carolina,NC,37,2015,3.78,412.27,175.40,124.42,
North Carolina,NC,37,2016,4.57,431.12,183.42,130.11,
North Carolina,NC,37,2017,5.37,454.29,193.28,137.10,
North Carolina,NC,37,2018,6.29,482.85,205.43,145.72,
North Carolina,NC,37,2019,5.21,508.03,216.14,153.32,
North Carolina,NC,37,2020,3.68,526.73,224.10,158.96,
North Carolina,NC,37,2021,12.48,592.45,252.06,178.79,
North Dakota,ND,38,1975,.,100.00,56.76,40.05,
North Dakota,ND,38,1976,12.20,112.20,63.69,44.93,
North Dakota,ND,38,1977,11.57,125.18,71.06,50.13,
North Dakota,ND,38,1978,10.09,137.82,78.23,55.19,
